id,filerId,filingId,filerName,filingDate,departmentName,positionName,offices,periodStart,periodEnd,entityName,address,city,state,zip,businessType,description,natureOfInvestment,natureOfInvestment_OtherDescription,businessPosition,dateAcquired,dateDisposed,fairMarketValueScheduleA2,fairMarketValueScheduleA2AsRange,grossIncomeReceived,grossIncomeReceivedAsRange,incomeSources,realProperty_investmentType,realProperty_businessName,realProperty_parcelAddress,realProperty_descriptionOrCityOrLocation,realProperty_dateAcquired,realProperty_dateDisposed,realProperty_fairMarketValue,realProperty_fairMarketValueAsRange,realProperty_natureOfInterest,realProperty_natureOfInterest_LeaseYearsRemaining,realProperty_natureOfInterest_OtherDescription
d0e2dac3f7e0401c9115c3c5fad2746b,SFO-1115,206667373,"Walker, Debra",03/01/2023 05:17:14 AM,"Building Inspection Commission,Police Commission,Arts Commission","Member,Commissioner,Commissioner",Commissioner - Police Commission,01/01/2022,12/31/2022,Debra Walker - Artist,[REDACTED],San Francisco,CA,94110,Business Entity,"Creation of original fine art, paintings, sculpture and limited edition prints, arts consulting.",Sole Proprietorship,,"Owner, artist",,,10000,"$10,001 - $100,000",10000,"$10,001 - $100,000",Transit Wireless,,,,,,,,,,,
0a11883dce5f465a84fb8801d4c9cf0b,SFO-157309,206630797,"McCormack, Korey J",02/27/2023 11:49:11 AM,Public Utilities Commission,Business Services Bureau--Administrative Analyst (Prop Q),Business Services Bureau--Administrative Analyst (Prop Q) - Public Utilities Commission,01/01/2023,02/16/2023,DoubleShot Creative,[REDACTED],Redwood City,CA,94063,Business Entity,Creative Marketing Agency,Other,Spouse's Business,,,,100000,"$100,001 - $1,000,000",10000,"$10,001 - $100,000",,,,,,,,,,,,
390e7a9dcfca4b9980b6adee99c039af-1,SFO-156950,206618674,"Ketcham, Dana",02/25/2023 08:49:05 AM,Recreation and Park Department,Director of Property and Concession Management,Director of Property and Concession Management - Recreation and Park Department,01/01/2022,12/31/2022,Oak Creek East Condo Napa,[REDACTED],Napa,CA,94558,Business Entity,Rental Condo,Sole Proprietorship,,Owner,,,1000000,"Over $1,000,000",10000,"$10,001 - $100,000",Rent,Real Property,800 Augusta Circle,[REDACTED],"Napa, CA",,,1000000,"Over $1,000,000",Property Ownership/Deed of Trust,,
e9863b788287429ab8559da0268e59a4-1,SFO-153140,206617878,"Schnair, Abby",02/24/2023 06:46:31 PM,Arts Commission,Commissioner,Commissioner - Arts Commission,01/01/2022,12/31/2022,"1400 Coronado, LLC",[REDACTED],San Francisco,CA,94121,Trust,,Unset,,,,,,Unset,10000,"$10,001 - $100,000",,Real Property,"Lot 19, Block 5720/154-156 Park Street",[REDACTED],"154-156 Park Street
San Francisco, CA",,,1000000,"Over $1,000,000",Property Ownership/Deed of Trust,,
f4422153c7be4ec681ec213300b9c0e7,SFO-157309,206615658,"McCormack, Korey J",02/24/2023 03:40:24 PM,Public Utilities Commission,Business Services Bureau--Administrative Analyst (Prop Q),Business Services Bureau--Administrative Analyst (Prop Q) - Public Utilities Commission,01/01/2022,12/31/2022,DoubleShot Creative,[REDACTED],Redwood City,CA,94063,Business Entity,Creative Marketing Agency,Other,Spouse's Business,,,,100000,"$100,001 - $1,000,000",10000,"$10,001 - $100,000",,,,,,,,,,,,
f6441f7ea1c84bffb5a18a95285d938d,SFO-156469,206613799,"Donohue, Virginia",02/24/2023 02:30:57 PM,City Administrator's Office (GSA),Animal Control Department--Executive Director,Animal Control Department--Executive Director - City Administrator's Office (GSA),01/01/2022,12/31/2022,Pet Camp Inc.,[REDACTED],San Francisco,CA,94124,Business Entity,Pet care services,Other,LLC,member,,,1000000,"Over $1,000,000",100000,"Over $100,000",,,,,,,,,,,,
ace292f62cae4178a32b5f3d2b642e6f,SFO-160260,206609251,"Hadizadeh, Javad",02/24/2023 11:26:45 AM,"Airport,Airport","Director, Aviation & Parking Management,Property Manager, Revenue Development & ","Director, Aviation & Parking Management - Airport",01/01/2022,12/31/2022,Hadizadeh Family Trust 9/27/19,[REDACTED],San Francisco,CA,94132,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",Resortica Hawaii|Amir Alavi,,,,,,,,,,,
0a74c974741f4cecb7b76db841869857,SFO-155227,206604545,"Bellar, Paul",02/24/2023 08:43:57 AM,Assessment Appeals Board,Member,Member - Assessment Appeals Board,01/01/2022,12/31/2022,Paul Bellar Appraisals,[REDACTED],San Francisco,CA,94110,Business Entity,Real estate appraisal services,Sole Proprietorship,,Owner,,,10000,"$10,001 - $100,000",10000,"$10,001 - $100,000",Paul Bellar Appraisals,,,,,,,,,,,
6f780cdd25874d72bb75c5af4fc8ced7-16,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,American Express Co.,[REDACTED],Finance/Rental/Leasing,,,100000,"$100,001 - $1,000,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-1,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Walt Disney Co.,[REDACTED],Movies/Entertainment,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-2,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Verizon Communications,[REDACTED],Major Telecommunications,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-3,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Starbucks Corp.,[REDACTED],Restaurants,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-4,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Shopify Inc.,[REDACTED],Packaged Software,,,2000,"$2,000 - $10,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-5,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Proctor & Gamble,[REDACTED],Household/Personal Care,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-6,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Paypal Holdings Inc.,[REDACTED],Data Processing Services,,,2000,"$2,000 - $10,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-7,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Nvidia Corp.,[REDACTED],Semiconductors,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-8,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Microsoft Corp.,[REDACTED],Packaged Software,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-9,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Johnson & Johnson,[REDACTED],Pharmaceuticals: Major,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-10,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Intel Corp.,[REDACTED],Semiconductors,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-11,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Ford Motor Co.,[REDACTED],Motor Vehicles,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-12,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Charles Schwab Corp.,[REDACTED],Investment Banks/Brokers,,,100000,"$100,001 - $1,000,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-13,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Berkshire Hathaway,[REDACTED],Multi-Line Insurance,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-14,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Bank of America Corp.,[REDACTED],Major Banks,,,10000,"$10,001 - $100,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-15,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Apple Inc.,[REDACTED],Telecommunications Equipment,,,100000,"$100,001 - $1,000,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-17,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Amazon.com Inc.,[REDACTED],Internet retail,,,100000,"$100,001 - $1,000,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-18,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Alphabet Inc.,[REDACTED],Internet Content and Information,,,100000,"$100,001 - $1,000,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-19,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Airbnb Inc.,[REDACTED],Other Consumer Services,,,2000,"$2,000 - $10,000",Stock,,
6f780cdd25874d72bb75c5af4fc8ced7-20,SFO-156048,206602255,"Beauchamp, Kevin",02/23/2023 06:40:38 PM,Office of Community Investment and Infrastructure,Citizens Advisory Committee Member,Citizens Advisory Committee Member - Office of Community Investment and Infrastructure,01/01/2022,12/31/2022,Kevin K Beauchamp Revocable Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Adobe Inc.,[REDACTED],Packaged Software,,,10000,"$10,001 - $100,000",Stock,,
95d6098e47404556ad06acc42a3aae27,SFO-154358,206601635,"Crossthwait Grunfeld, Gay",02/23/2023 05:26:56 PM,Law Library,Trustee,Trustee - Law Library,01/01/2022,12/31/2022,Rosen Bien Galvan & Grunfeld,[REDACTED],San Francisco,CA,94105,Business Entity,Law Firm,Partnership,,Managing Partner,,,1000000,"Over $1,000,000",100000,"Over $100,000",,,,,,,,,,,,
8d9f9ffd62654e74820db559db951dbb,SFO-156438,206598096,"DeMarco, Christopher",02/23/2023 02:59:29 PM,Building Inspection Department of,Electrical Inspector,Electrical Inspector - Building Inspection Department of,01/01/2022,12/31/2022,Rachel Pechter,[REDACTED],San Francisco,CA,94131,Business Entity,Therapy,Sole Proprietorship,,None,,,1000,"$0 - $1,999",10000,"$10,001 - $100,000",,,,,,,,,,,,
655c313ab4bd488aba56469c21eb62d7,SFO-158523,206594282,"Dusseault, Brian",02/23/2023 01:10:13 PM,Municipal Transportation Agency,Municipal Transportation Agency--Senior Engineer,Municipal Transportation Agency--Senior Engineer - Municipal Transportation Agency,01/01/2022,12/31/2022,9th & Larkin,[REDACTED],San Francisco,CA,94107,Business Entity,Chocolate Maker,Other,S-Corporation,CFO,,,10000,"$10,001 - $100,000",250,$0 - $499,,,,,,,,,,,,
1d6917ea7f5d45f395ce4712f45aa2fb,SFO-158546,206575056,"Essien, Michael",02/22/2023 01:55:39 PM,San Francisco Unified School District,School Principal,School Principal - San Francisco Unified School District,01/01/2022,12/31/2022,Essien Education Group,[REDACTED],OAKLAND,CA,94613,Business Entity,Support teachers to grow their practice and improve outcomes. ,Sole Proprietorship,,,,,2000,"$2,000 - $10,000",1000,"$1,001 - $10,000",,,,,,,,,,,,
b1090783d11a44a78d9213216455196c,SFO-158546,206575056,"Essien, Michael",02/22/2023 01:55:39 PM,San Francisco Unified School District,School Principal,School Principal - San Francisco Unified School District,01/01/2022,12/31/2022,Essien Education Group,[REDACTED],OAKLAND,CA,94613,Business Entity,Support educators to grow their practices and improve student outcomes,Sole Proprietorship,,,,,2000,"$2,000 - $10,000",500,"$500 - $1,000",,,,,,,,,,,,
29e47fd10d584a1ab96ca91954496bf4,SFO-158546,206574734,"Essien, Michael",02/22/2023 01:46:52 PM,San Francisco Unified School District,School Principal,School Principal - San Francisco Unified School District,01/01/2021,12/31/2021,Essien Education Group,[REDACTED],OAKLAND,CA,94613,Business Entity,Support teachers to grow their practice and improve outcomes. ,Sole Proprietorship,,,,,2000,"$2,000 - $10,000",1000,"$1,001 - $10,000",,,,,,,,,,,,
9b0fd1fa4bde4536bfd6eeed2c1c6492,SFO-162150,206572933,"Tirrell, Christopher",02/22/2023 12:29:08 PM,Treasurer/Tax Collector Office of the,Tax Collector Attorney,Assistant Tax Collector Attorney - Treasurer/Tax Collector Office of the,01/23/2022,01/23/2023,Sole Proprietorship,[REDACTED],Corte Madera,CA,94925,Business Entity,Legal Services,Sole Proprietorship,,Attorney,,,10000,"$10,001 - $100,000",10000,"$10,001 - $100,000",Legal Services,,,,,,,,,,,
cd7ee1fff96e497fb610dc421fc0b442,SFO-161105,206560470,"Tavaglione, Kim",02/21/2023 05:40:13 PM,Workforce Investment Board,Member,Member - Workforce Investment Board,01/05/2022,12/31/2022,San Francisco Labor Council,[REDACTED],san Francisco,CA,94109,Business Entity,Non Profit labor group,Other,None just gross income,Executive Director,,,1000,"$0 - $1,999",100000,"Over $100,000",,,,,,,,,,,,
b581e68ef4eb439a837e973b070d6343,SFO-151527,206556582,"Fugaro, Steven",02/21/2023 04:05:00 PM,Health Authority,Governing Board Member,Governing Board Member - Health Authority,01/01/2022,12/31/2022,Fugaro MD Med-Legal Consulting,[REDACTED],San Francisco,CA,94123,Business Entity,Medical-Legal Consulting,Sole Proprietorship,,Owner/Partner,,,10000,"$10,001 - $100,000",100000,"Over $100,000",,,,,,,,,,,,
50ae4d099dd74a0f85af057cbab309cd,SFO-151527,206556582,"Fugaro, Steven",02/21/2023 04:05:00 PM,Health Authority,Governing Board Member,Governing Board Member - Health Authority,01/01/2022,12/31/2022,MD2 - San Francisco,[REDACTED],San Francisco,CA,94123,Business Entity,Physician Practice,Partnership,,Owner/Partner,,,1000000,"Over $1,000,000",100000,"Over $100,000",,,,,,,,,,,,
f7971d06babe4ae18ea07aae270387b3-1,SFO-157689,206538130,"Rubenstein, Beth",02/21/2023 10:52:43 AM,Public Works Department of,Director's Office--Assistant to the Director,Director's Office--dep.dir.policy/comms - Public Works Department of,01/01/2022,12/31/2022,BR Surrey LLC,[REDACTED],San Francisco,CA,94131,Business Entity,Limited Liability Company,Other,Limited Liability Company,,,,1000000,"Over $1,000,000",100000,"Over $100,000","Bryan Rivera, Kevin Girard, Nicola Clegg, Audrey Debruine, Asher King-Abramson,",Real Property,"85 Ramona Avenue
San Francisco, CA 94103
",[REDACTED],85 Ramona Avenue (6-unit apartment building),,,1000000,"Over $1,000,000",Other,,Limited Liability Company
2cbf4fc30c4f444185ec0315057feefd,SFO-157310,206537195,"Mccormick, Shawn",02/21/2023 10:40:18 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager VI,Municipal Transportation Agency--Manager VI - Municipal Transportation Agency,01/01/2022,12/31/2022,McCormick Enterprises,[REDACTED],Huntingdon,TN,38344,Business Entity,Direct Sales,Sole Proprietorship,,Owner,,,2000,"$2,000 - $10,000",1000,"$1,001 - $10,000",,,,,,,,,,,,
e3c35c9934904f209d6464f57261f44d-1,SFO-160830,206526337,"Tran, Marlene",02/20/2023 06:13:18 PM,Public Utilities Commission,"Public Utilities Commission, Boards and Administration--Southeast Community Faci","Public Utilities Commission, Boards and Administration--Southeast Community Facility Commissioner - Public Utilities Commission",01/01/2022,12/31/2022,Marlene Tran Trust,[REDACTED],San Francisco,CA,94134,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",Rental,Real Property,VOL37 BK6247 LT006,[REDACTED],SAN FRANCISCO,,,1000000,"Over $1,000,000",Property Ownership/Deed of Trust,,
e3c35c9934904f209d6464f57261f44d-4,SFO-160830,206526337,"Tran, Marlene",02/20/2023 06:13:18 PM,Public Utilities Commission,"Public Utilities Commission, Boards and Administration--Southeast Community Faci","Public Utilities Commission, Boards and Administration--Southeast Community Facility Commissioner - Public Utilities Commission",01/01/2022,12/31/2022,Marlene Tran Trust,[REDACTED],San Francisco,CA,94134,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",Rental,Real Property,VOL37 BK6245 LT039,[REDACTED],SAN FRANCISCO,,,100000,"$100,001 - $1,000,000",Property Ownership/Deed of Trust,,
e3c35c9934904f209d6464f57261f44d-3,SFO-160830,206526337,"Tran, Marlene",02/20/2023 06:13:18 PM,Public Utilities Commission,"Public Utilities Commission, Boards and Administration--Southeast Community Faci","Public Utilities Commission, Boards and Administration--Southeast Community Facility Commissioner - Public Utilities Commission",01/01/2022,12/31/2022,Marlene Tran Trust,[REDACTED],San Francisco,CA,94134,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",Rental,Real Property,VOL37 BK6208 LT053,[REDACTED],SAN FRANCISCO,,,100000,"$100,001 - $1,000,000",Property Ownership/Deed of Trust,,
e3c35c9934904f209d6464f57261f44d-2,SFO-160830,206526337,"Tran, Marlene",02/20/2023 06:13:18 PM,Public Utilities Commission,"Public Utilities Commission, Boards and Administration--Southeast Community Faci","Public Utilities Commission, Boards and Administration--Southeast Community Facility Commissioner - Public Utilities Commission",01/01/2022,12/31/2022,Marlene Tran Trust,[REDACTED],San Francisco,CA,94134,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",Rental,Real Property,VOL37 BK6248 LT010,[REDACTED],SAN FRANCISCO,,,1000000,"Over $1,000,000",Property Ownership/Deed of Trust,,
56c20a3d9e2d40c9a7ebf7f689c8cacc,SFO-1686,206521180,"Chan, Douglas",02/19/2023 06:40:46 PM,"Human Rights Commission,Civil Service Commission","Commissioner,Commissioner",Commissioner - Civil Service Commission,01/01/2022,12/31/2022,Douglas S. Chan Attorney at Law,[REDACTED],San Francisco,CA,94102,Business Entity,law office,Sole Proprietorship,,principal,01/01/2022,,1000,"$0 - $1,999",100000,"Over $100,000",Mae Woo|Ferry Plaza Limited Partnership,,,,,,,,,,,
fcbb94a58cc1419681eff270fc5bae09-11,SFO-157917,206521001,"Thaikkendiyil, Gayathri",02/19/2023 03:05:26 PM,Ethics Commission,Deputy Director,Deputy Director - Ethics Commission Executive Director - Ethics Commission,01/01/2022,01/23/2023,Aanya Hari Rathi Trust,[REDACTED],San Francisco,CA,94107,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Yieldstreet,[REDACTED],Crowd-funded commercial investment ,01/14/2022,03/21/2022,10000,"$10,001 - $100,000",Other,,passive investor
fcbb94a58cc1419681eff270fc5bae09-7,SFO-157917,206521001,"Thaikkendiyil, Gayathri",02/19/2023 03:05:26 PM,Ethics Commission,Deputy Director,Deputy Director - Ethics Commission Executive Director - Ethics Commission,01/01/2022,01/23/2023,Aanya Hari Rathi Trust,[REDACTED],San Francisco,CA,94107,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Netflix,[REDACTED],Technology / Entertainment Company,,07/19/2022,2000,"$2,000 - $10,000",Stock,,
fcbb94a58cc1419681eff270fc5bae09-8,SFO-157917,206521001,"Thaikkendiyil, Gayathri",02/19/2023 03:05:26 PM,Ethics Commission,Deputy Director,Deputy Director - Ethics Commission Executive Director - Ethics Commission,01/01/2022,01/23/2023,Aanya Hari Rathi Trust,[REDACTED],San Francisco,CA,94107,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Apple,[REDACTED],Technology company,,,10000,"$10,001 - $100,000",Stock,,
fcbb94a58cc1419681eff270fc5bae09-9,SFO-157917,206521001,"Thaikkendiyil, Gayathri",02/19/2023 03:05:26 PM,Ethics Commission,Deputy Director,Deputy Director - Ethics Commission Executive Director - Ethics Commission,01/01/2022,01/23/2023,Aanya Hari Rathi Trust,[REDACTED],San Francisco,CA,94107,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Crowdstreet,[REDACTED],Crowd-funded CRE investment,02/10/2022,,100000,"$100,001 - $1,000,000",Other,,passive investor
fcbb94a58cc1419681eff270fc5bae09-10,SFO-157917,206521001,"Thaikkendiyil, Gayathri",02/19/2023 03:05:26 PM,Ethics Commission,Deputy Director,Deputy Director - Ethics Commission Executive Director - Ethics Commission,01/01/2022,01/23/2023,Aanya Hari Rathi Trust,[REDACTED],San Francisco,CA,94107,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Prosper,[REDACTED],Peer-to-peer lending,01/07/2022,,10000,"$10,001 - $100,000",Other,,passive P2P micro-loans
fcbb94a58cc1419681eff270fc5bae09-1,SFO-157917,206521001,"Thaikkendiyil, Gayathri",02/19/2023 03:05:26 PM,Ethics Commission,Deputy Director,Deputy Director - Ethics Commission Executive Director - Ethics Commission,01/01/2022,01/23/2023,Aanya Hari Rathi Trust,[REDACTED],San Francisco,CA,94107,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Alphabet,[REDACTED],Technology company,,05/04/2022,100000,"$100,001 - $1,000,000",Stock,,
fcbb94a58cc1419681eff270fc5bae09-2,SFO-157917,206521001,"Thaikkendiyil, Gayathri",02/19/2023 03:05:26 PM,Ethics Commission,Deputy Director,Deputy Director - Ethics Commission Executive Director - Ethics Commission,01/01/2022,01/23/2023,Aanya Hari Rathi Trust,[REDACTED],San Francisco,CA,94107,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Alphabet,[REDACTED],Technology company,,06/01/2022,2000,"$2,000 - $10,000",Stock,,
fcbb94a58cc1419681eff270fc5bae09-3,SFO-157917,206521001,"Thaikkendiyil, Gayathri",02/19/2023 03:05:26 PM,Ethics Commission,Deputy Director,Deputy Director - Ethics Commission Executive Director - Ethics Commission,01/01/2022,01/23/2023,Aanya Hari Rathi Trust,[REDACTED],San Francisco,CA,94107,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Alphabet,[REDACTED],Technology company,,01/03/2022,100000,"$100,001 - $1,000,000",Stock,,
fcbb94a58cc1419681eff270fc5bae09-4,SFO-157917,206521001,"Thaikkendiyil, Gayathri",02/19/2023 03:05:26 PM,Ethics Commission,Deputy Director,Deputy Director - Ethics Commission Executive Director - Ethics Commission,01/01/2022,01/23/2023,Aanya Hari Rathi Trust,[REDACTED],San Francisco,CA,94107,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Investment,Alphabet,[REDACTED],Technology company,,03/30/2022,10000,"$10,001 - $100,000",Stock,,
